username,password,email,nbr_logins
admin,scrypt:32768:8:1$F3XsEFqOikiQr56T$614e64d91b7bcc6802eafdba3e7d00a0187f9c45273621bb838da53943245c5a071d4624495895eede3877c2a4e84955314ba0efaede927a8ec7c7a0a73917b1,admin@admin.com,12
jc,scrypt:32768:8:1$TBCnmy66KaPzMNBK$2f239ea29e3335b14430753cd5125c979bfa26c0cbe84c2a06b9d8a22858020730653ce0a4c0360cdb2f7b8af83cfb7d063addc5103306e946743ba2c7e8d07a,jc@jc.com,69
jose,scrypt:32768:8:1$8JOyRfttA0mzLoPv$b2eaf9d16e76a6a95bf9feff2d0a922fe09f41e4ba74860f31efe930159b07ad54253a6e08c66d80887a55e7fc18c9bcbed8711de8d9e65bee8f43c83ecc895a,jose@jose.com,83
jules,scrypt:32768:8:1$7F0cRGYZjQjhMb7c$1e579089a467baa279ae85f1f1784b302133377743b4867e2cccbf8b3ed5a9b6eb7e1254ead7071737792c64c5a2981677ecf4b88d5cb76acad0e4f48adea844,jules@jules.com,71
bruno,scrypt:32768:8:1$3SklSc4H4i5KNrpL$f6f1a8efebc91bd1f9ab5776e1a8a58e529be27a339cf786cb0cccb0950cc74adea5c9b6e15f1a08994713b93b24545183590ba82c26da0a80e410026aa65f91,bruno@bruno.com,74
arnaud,scrypt:32768:8:1$SWuketlKYxB8gkFD$cf84f342541b4dd739643d12a01324fd852e6bb6082dbacf89474356dcba9862182e195146feff9c32f7a7070a2c2512418761c3f0ef356951e62e6bb49f2ab1,arnaud@arnaud.com,29
alexis,scrypt:32768:8:1$ICb2lF5qhw3cC6D7$79563a555398a894771065edafff0ee2c8e3d03d554acf8b76736b3126893837ed44f575df379691faef7493f6a6a61b8d5e86fb2d4fb68a1be08421d7052216,alexis@alexis.com,13
pierre,scrypt:32768:8:1$Ao3zqdpGcc8eZ8aL$17789a40c723ffeb850d28c8a39c90ffd8ad638347ec550fc31865af011332a6d0879cc3cd218bc1efb4a6c22ac8359f469c068970434aea71d05bd939cdc678,pierre@pierre.com,1
mathieu,scrypt:32768:8:1$1cLHDUc2wpC2QOwn$27c956f2cf9ed503dd519f77c945635e3ef3987846ba394748601fd989820f34765ee096871468bea23c03e73fdbf02a45c60117c855916f1f6643b606a10b58,mathieu@mathieu.com,77
idio,scrypt:32768:8:1$IaKg3J2xDF9GQAcA$79a05733be3aeed8263c468af22a50fe45e626fa3047d077a5c805fd05d56390c7ba2091eb40939e13d6a6dc6ebe3c61db9aedc5aedaa48af83271862ab5f424,idio@gamil.com,26
